game_id,objective_MostInvestors,objective_MostEngineers,objective_NewWorldExplorer,objective_BasicGoodsProducer,objective_ExplorerTrader,objective_LuxuryFactories,objective_SingleIslandBonus,objective_MostExpeditionCards,objective_ExtraAction,objective_ArtifactBonus,objective_NewWorldProductFactories,objective_AnimalBonus,objective_ArtisanGoodsFactories,objective_MostTradeChips,objective_PrestigeFactories,objective_ResidentCardsPenalty,objective_EngineerGoodsFactories,objective_DiscardResidentCard,objective_InvestorExhaustForGold,objective_MostResidentsTotal,rounds_played,game_end_status,winner_player,player_id_p1,seat_position_p1,is_start_player_p1,start_cards_l2_count_p1,start_cards_l5_count_p1,start_cards_l7_count_p1,start_reward_upgrade_count_p1,start_reward_tradepoints_count_p1,start_reward_gold_count_p1,start_reward_extraaction_count_p1,start_reward_expedition_count_p1,start_reward_discard_count_p1,start_reward_explorationpoints_count_p1,start_reward_freegoodschoice_count_p1,start_reward_gold_and_tradepoints_count_p1,strategy_name_p1,fulfill_needs_count_p1,final_points_p1,rank_p1,is_winner_p1,player_id_p2,seat_position_p2,is_start_player_p2,start_cards_l2_count_p2,start_cards_l5_count_p2,start_cards_l7_count_p2,start_reward_upgrade_count_p2,start_reward_tradepoints_count_p2,start_reward_gold_count_p2,start_reward_extraaction_count_p2,start_reward_expedition_count_p2,start_reward_discard_count_p2,start_reward_explorationpoints_count_p2,start_reward_freegoodschoice_count_p2,start_reward_gold_and_tradepoints_count_p2,strategy_name_p2,fulfill_needs_count_p2,final_points_p2,rank_p2,is_winner_p2,player_id_p3,seat_position_p3,is_start_player_p3,start_cards_l2_count_p3,start_cards_l5_count_p3,start_cards_l7_count_p3,start_reward_upgrade_count_p3,start_reward_tradepoints_count_p3,start_reward_gold_count_p3,start_reward_extraaction_count_p3,start_reward_expedition_count_p3,start_reward_discard_count_p3,start_reward_explorationpoints_count_p3,start_reward_freegoodschoice_count_p3,start_reward_gold_and_tradepoints_count_p3,strategy_name_p3,fulfill_needs_count_p3,final_points_p3,rank_p3,is_winner_p3
11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,145,,2,1,1,1,7,2,0,1,1,1,0,0,1,0,1,0,eliteResidentProduction,128,137,1,1,2,2,0,7,2,0,2,1,4,0,0,0,1,0,0,explorationFocus,95,118,2,0,0,3,0,7,2,0,2,3,0,2,0,0,0,0,0,eliteResidentProduction,81,115,3,0
12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,210,,3,0,1,1,7,2,0,3,2,1,1,0,0,0,0,0,explorationFocus,59,144,2,0,1,2,0,7,2,0,1,0,2,1,0,1,0,0,0,eliteResidentProduction,151,115,3,0,2,3,0,7,2,0,1,2,0,0,0,1,0,0,0,adaptiveResidentStrategy,86,154,1,1
13,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,77,,1,1,1,1,7,2,0,1,1,0,1,0,1,0,0,0,factoryVariety,131,112,3,0,2,2,0,7,2,0,3,1,1,0,1,0,0,1,0,explorationFocus,70,130,2,0,0,3,0,7,2,0,1,2,1,1,0,1,0,0,0,explorationFocus,68,145,1,1
14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,113,,3,2,1,1,7,2,0,3,0,1,1,0,1,0,0,0,factoryVariety,149,147,1,1,0,2,0,7,2,0,0,3,2,0,0,0,0,1,0,adaptiveResidentStrategy,90,138,2,0,1,3,0,7,2,0,0,0,2,2,0,0,0,0,0,eliteResidentProduction,127,117,3,0
15,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,222,,1,2,1,1,7,2,0,1,1,0,1,0,1,0,0,0,balanced,144,110,2,0,0,2,0,7,2,0,3,1,1,0,0,0,0,0,0,eliteResidentProduction,117,132,1,1,1,3,0,7,2,0,3,3,0,0,0,0,0,0,0,explorationFocus,45,82,3,0
16,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,164,,3,2,1,1,7,2,0,1,0,1,0,0,1,0,0,0,explorationFocus,125,131,1,1,0,2,0,7,2,0,3,2,0,1,0,1,0,0,0,balanced,92,117,2,0,1,3,0,7,2,0,1,3,1,0,1,0,1,0,0,shipBuilding,110,88,3,0
17,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,173,,1,0,1,1,7,2,0,1,2,2,0,0,1,0,0,0,eliteResidentProduction,71,160,1,1,1,2,0,7,2,0,1,2,0,0,2,0,0,0,0,explorationFocus,110,88,3,0,2,3,0,7,2,0,3,1,1,0,0,0,1,0,0,explorationFocus,46,115,2,0
18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,55,,3,0,1,1,7,2,0,2,0,1,0,0,2,0,0,0,shipBuilding,75,106,2,0,1,2,0,7,2,0,0,2,1,2,0,0,0,0,0,explorationFocus,29,82,3,0,2,3,0,7,2,0,1,2,2,1,0,0,0,0,0,adaptiveResidentStrategy,81,121,1,1
19,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,300,aborted_300_rounds,1,1,1,1,7,2,0,1,1,2,0,0,1,0,0,0,balanced,130,131,2,0,2,2,0,7,2,0,2,2,2,1,0,0,1,0,0,balanced,131,107,3,0,0,3,0,7,2,0,2,0,1,1,0,0,0,1,0,balanced,114,154,1,1
20,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,153,,1,1,1,1,7,2,0,0,1,1,0,0,1,1,0,0,adaptiveResidentStrategy,80,93,3,0,2,2,0,7,2,0,2,0,1,1,0,0,1,0,0,eliteResidentProduction,50,122,2,0,0,3,0,7,2,0,1,1,2,0,0,1,0,0,0,factoryVariety,111,126,1,1
21,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,217,,1,2,1,1,7,2,0,2,2,0,1,0,0,0,0,0,balanced,43,84,3,0,0,2,0,7,2,0,1,3,2,1,0,0,0,0,0,explorationFocus,114,127,1,1,1,3,0,7,2,0,2,0,1,0,1,1,0,0,0,balanced,144,106,2,0
22,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,245,,2,0,1,1,7,2,0,1,3,0,0,0,1,1,0,0,factoryVariety,81,116,3,0,1,2,0,7,2,0,2,1,0,1,0,1,0,0,0,adaptiveResidentStrategy,136,151,1,1,2,3,0,7,2,0,1,2,2,0,0,1,0,0,0,explorationFocus,134,127,2,0
23,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,217,,2,2,1,1,7,2,0,0,3,1,0,0,1,0,0,0,explorationFocus,53,84,3,0,0,2,0,7,2,0,0,1,1,0,0,1,1,0,0,eliteResidentProduction,132,109,2,0,1,3,0,7,2,0,2,3,0,0,0,1,0,0,0,shipBuilding,130,149,1,1
24,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,178,,3,0,1,1,7,2,0,3,0,0,0,1,0,0,0,0,explorationFocus,38,109,3,0,1,2,0,7,2,0,2,1,2,1,0,0,0,1,0,eliteResidentProduction,130,128,2,0,2,3,0,7,2,0,1,1,0,1,0,1,0,0,0,balanced,55,153,1,1
25,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,190,,1,0,1,1,7,2,0,1,1,0,1,0,1,0,0,0,eliteResidentProduction,86,114,1,1,1,2,0,7,2,0,0,0,3,2,0,0,0,0,0,adaptiveResidentStrategy,76,106,3,0,2,3,0,7,2,0,0,3,2,0,0,0,0,0,0,balanced,62,107,2,0
26,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,115,,2,0,1,1,7,2,0,2,1,2,1,0,0,0,1,0,balanced,54,98,3,0,1,2,0,7,2,0,1,2,0,2,0,0,0,0,0,factoryVariety,147,161,1,1,2,3,0,7,2,0,2,2,1,1,0,0,0,0,0,shipBuilding,54,136,2,0
27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,123,,1,1,1,1,7,2,0,1,4,0,0,0,0,0,1,0,factoryVariety,136,104,2,0,2,2,0,7,2,0,2,1,1,1,0,0,1,0,0,adaptiveResidentStrategy,141,87,3,0,0,3,0,7,2,0,2,3,0,0,0,1,0,0,0,adaptiveResidentStrategy,142,114,1,1
28,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,275,,1,1,1,1,7,2,0,1,0,1,0,0,0,1,0,0,factoryVariety,131,119,3,0,2,2,0,7,2,0,1,4,2,0,1,0,0,0,0,balanced,155,137,2,0,0,3,0,7,2,0,0,2,1,1,0,0,0,1,0,balanced,76,149,1,1
29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,155,,2,1,1,1,7,2,0,2,1,1,0,0,0,0,0,0,factoryVariety,123,147,1,1,2,2,0,7,2,0,1,2,2,1,0,0,1,0,0,factoryVariety,140,109,2,0,0,3,0,7,2,0,0,2,2,0,0,2,0,0,0,adaptiveResidentStrategy,107,99,3,0
30,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,300,aborted_300_rounds,3,1,1,1,7,2,0,1,1,0,1,0,0,1,0,0,shipBuilding,92,100,3,0,2,2,0,7,2,0,1,0,3,0,0,1,0,0,0,adaptiveResidentStrategy,62,157,1,1,0,3,0,7,2,0,2,1,0,1,0,1,0,0,0,explorationFocus,123,137,2,0
31,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,210,,3,0,1,1,7,2,0,4,1,0,0,0,1,0,0,0,eliteResidentProduction,125,131,2,0,1,2,0,7,2,0,0,2,3,1,0,0,0,0,0,eliteResidentProduction,98,86,3,0,2,3,0,7,2,0,1,1,0,0,1,0,0,0,0,factoryVariety,74,153,1,1
32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,115,,3,2,1,1,7,2,0,3,0,1,1,0,0,0,0,0,factoryVariety,116,158,1,1,0,2,0,7,2,0,1,3,0,0,1,1,0,0,0,factoryVariety,87,114,3,0,1,3,0,7,2,0,0,2,0,2,0,0,0,0,0,balanced,54,125,2,0
33,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,114,,3,0,1,1,7,2,0,2,1,1,2,0,0,0,0,0,balanced,78,126,2,0,1,2,0,7,2,0,2,0,1,1,0,1,0,0,0,adaptiveResidentStrategy,37,84,3,0,2,3,0,7,2,0,0,1,0,1,1,0,0,0,0,balanced,67,158,1,1
34,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,133,,2,0,1,1,7,2,0,1,1,1,1,0,1,0,0,0,adaptiveResidentStrategy,46,138,2,0,1,2,0,7,2,0,1,2,1,1,1,0,0,0,0,adaptiveResidentStrategy,114,141,1,1,2,3,0,7,2,0,4,1,0,1,0,0,0,0,0,balanced,38,133,3,0
35,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,200,,3,1,1,1,7,2,0,2,2,1,2,0,0,0,0,0,factoryVariety,35,107,2,0,2,2,0,7,2,0,3,0,2,2,0,0,0,0,0,eliteResidentProduction,39,134,1,1,0,3,0,7,2,0,3,1,0,0,0,1,0,0,0,adaptiveResidentStrategy,147,89,3,0
36,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,125,,3,2,1,1,7,2,0,0,2,3,1,0,0,0,1,0,explorationFocus,139,134,1,1,0,2,0,7,2,0,2,3,0,1,0,0,0,1,0,adaptiveResidentStrategy,63,129,2,0,1,3,0,7,2,0,0,2,1,0,0,1,0,0,0,adaptiveResidentStrategy,148,103,3,0
37,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,90,,2,0,1,1,7,2,0,1,2,1,1,0,0,1,0,0,eliteResidentProduction,70,130,2,0,1,2,0,7,2,0,2,1,1,1,1,0,0,0,0,factoryVariety,122,157,1,1,2,3,0,7,2,0,2,2,0,2,0,0,0,0,0,eliteResidentProduction,90,125,3,0
38,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,103,,3,1,1,1,7,2,0,1,3,0,1,0,0,0,0,0,adaptiveResidentStrategy,51,82,3,0,2,2,0,7,2,0,3,1,1,1,0,0,0,0,0,eliteResidentProduction,66,143,1,1,0,3,0,7,2,0,1,3,0,0,0,1,0,0,0,explorationFocus,74,134,2,0
39,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,105,,2,0,1,1,7,2,0,0,4,1,0,0,0,0,1,0,adaptiveResidentStrategy,153,88,3,0,1,2,0,7,2,0,2,1,1,1,0,0,0,0,0,balanced,46,164,1,1,2,3,0,7,2,0,2,1,0,1,0,0,1,0,0,eliteResidentProduction,30,105,2,0
40,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,173,,3,2,1,1,7,2,0,1,1,1,1,0,1,0,0,0,eliteResidentProduction,30,131,1,1,0,2,0,7,2,0,1,1,0,0,0,1,1,0,0,eliteResidentProduction,64,97,2,0,1,3,0,7,2,0,1,1,1,1,0,0,0,0,0,adaptiveResidentStrategy,29,91,3,0
41,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,205,,3,1,1,1,7,2,0,0,2,1,0,0,0,0,1,0,balanced,127,140,2,0,2,2,0,7,2,0,1,4,0,0,0,1,1,0,0,eliteResidentProduction,134,165,1,1,0,3,0,7,2,0,2,2,1,0,2,0,0,0,0,adaptiveResidentStrategy,91,116,3,0
42,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,135,,1,2,1,1,7,2,0,1,2,0,1,0,0,0,1,0,balanced,132,110,3,0,0,2,0,7,2,0,2,2,1,1,1,0,0,0,0,factoryVariety,149,141,1,1,1,3,0,7,2,0,1,1,1,0,0,0,0,0,0,adaptiveResidentStrategy,52,128,2,0
43,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,73,,3,1,1,1,7,2,0,0,2,0,2,0,0,0,0,0,shipBuilding,29,110,3,0,2,2,0,7,2,0,4,1,1,0,0,0,1,0,0,eliteResidentProduction,140,128,1,1,0,3,0,7,2,0,1,0,2,1,1,0,0,0,0,eliteResidentProduction,151,126,2,0
44,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,85,,3,2,1,1,7,2,0,1,2,3,1,0,0,0,1,0,explorationFocus,129,162,1,1,0,2,0,7,2,0,3,2,1,0,0,1,0,0,0,factoryVariety,42,110,3,0,1,3,0,7,2,0,1,1,0,1,0,1,0,0,0,adaptiveResidentStrategy,127,150,2,0
45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,64,,2,2,1,1,7,2,0,2,2,1,1,0,1,0,0,0,eliteResidentProduction,142,110,3,0,0,2,0,7,2,0,0,2,2,0,0,0,2,0,0,eliteResidentProduction,140,122,2,0,1,3,0,7,2,0,1,1,2,1,1,0,0,0,0,factoryVariety,74,126,1,1
46,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,145,,1,0,1,1,7,2,0,2,2,1,1,1,0,0,0,0,adaptiveResidentStrategy,50,146,1,1,1,2,0,7,2,0,1,0,0,0,0,1,0,1,0,adaptiveResidentStrategy,52,138,3,0,2,3,0,7,2,0,1,2,0,0,0,2,0,0,0,adaptiveResidentStrategy,75,145,2,0
47,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,210,,1,1,1,1,7,2,0,2,1,1,1,0,0,0,0,0,explorationFocus,84,85,3,0,2,2,0,7,2,0,2,1,2,1,0,0,0,0,0,explorationFocus,135,94,2,0,0,3,0,7,2,0,1,3,1,0,0,0,0,0,0,shipBuilding,34,121,1,1
48,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,77,,1,2,1,1,7,2,0,0,3,0,1,0,0,0,1,0,explorationFocus,107,126,1,1,0,2,0,7,2,0,2,0,1,1,0,0,0,0,0,explorationFocus,56,126,1,1,1,3,0,7,2,0,4,0,2,1,0,1,0,0,0,factoryVariety,126,96,3,0
49,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,113,,1,2,1,1,7,2,0,4,2,0,1,0,0,0,0,0,shipBuilding,39,113,2,0,0,2,0,7,2,0,2,1,1,0,1,0,1,0,0,eliteResidentProduction,33,131,1,1,1,3,0,7,2,0,2,0,1,0,0,1,0,0,0,eliteResidentProduction,109,102,3,0
50,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,222,,3,2,1,1,7,2,0,4,1,2,0,0,0,0,0,0,explorationFocus,61,155,1,1,0,2,0,7,2,0,3,1,0,0,0,1,0,0,0,factoryVariety,102,112,2,0,1,3,0,7,2,0,0,6,0,1,0,0,0,0,0,balanced,91,83,3,0
51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,164,,3,1,1,1,7,2,0,1,2,0,0,0,2,0,0,0,eliteResidentProduction,70,112,3,0,2,2,0,7,2,0,1,4,3,1,0,0,0,0,0,factoryVariety,42,122,1,1,0,3,0,7,2,0,1,0,1,0,1,1,0,0,0,factoryVariety,101,116,2,0
52,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,173,,3,1,1,1,7,2,0,1,3,0,2,0,0,0,0,0,factoryVariety,122,104,3,0,2,2,0,7,2,0,2,1,0,1,0,0,1,0,0,eliteResidentProduction,134,149,1,1,0,3,0,7,2,0,1,2,2,0,1,0,0,0,0,eliteResidentProduction,76,140,2,0
53,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,55,,1,0,1,1,7,2,0,1,0,2,0,0,1,1,0,0,eliteResidentProduction,32,142,1,1,1,2,0,7,2,0,3,2,1,0,0,1,0,0,0,explorationFocus,47,104,3,0,2,3,0,7,2,0,1,3,1,1,0,0,0,0,0,factoryVariety,82,111,2,0
54,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,300,aborted_300_rounds,1,1,1,1,7,2,0,0,0,2,0,0,0,1,1,0,adaptiveResidentStrategy,29,88,3,0,2,2,0,7,2,0,3,1,1,1,1,0,0,0,0,shipBuilding,87,100,2,0,0,3,0,7,2,0,2,1,1,2,0,0,0,0,0,adaptiveResidentStrategy,57,118,1,1
55,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,153,,3,0,1,1,7,2,0,1,1,2,1,0,0,1,0,0,explorationFocus,119,92,3,0,1,2,0,7,2,0,1,1,1,1,0,0,1,0,0,eliteResidentProduction,129,105,2,0,2,3,0,7,2,0,3,3,0,0,0,1,0,1,0,factoryVariety,56,143,1,1
56,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,217,,1,0,1,1,7,2,0,0,0,1,1,0,0,0,1,0,balanced,41,138,1,1,1,2,0,7,2,0,2,3,0,0,0,0,1,0,0,factoryVariety,113,96,2,0,2,3,0,7,2,0,3,3,1,0,0,1,0,0,0,eliteResidentProduction,51,93,3,0
57,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,245,,3,1,1,1,7,2,0,2,1,0,0,0,1,0,0,0,shipBuilding,98,87,3,0,2,2,0,7,2,0,2,3,0,1,1,0,0,0,0,balanced,93,124,1,1,0,3,0,7,2,0,1,1,1,1,0,1,0,0,0,factoryVariety,43,103,2,0
58,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,217,,3,2,1,1,7,2,0,1,1,1,1,0,0,0,0,0,adaptiveResidentStrategy,143,159,1,1,0,2,0,7,2,0,2,2,0,0,0,1,1,0,0,adaptiveResidentStrategy,145,112,2,0,1,3,0,7,2,0,1,1,0,0,0,2,0,0,0,adaptiveResidentStrategy,73,90,3,0
59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,178,,2,0,1,1,7,2,0,3,1,2,0,0,0,1,0,0,adaptiveResidentStrategy,65,146,2,0,1,2,0,7,2,0,4,1,0,0,0,0,1,0,0,factoryVariety,122,163,1,1,2,3,0,7,2,0,1,1,1,0,2,0,0,0,0,factoryVariety,50,113,3,0
60,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,190,,2,2,1,1,7,2,0,2,0,2,0,1,0,0,0,0,shipBuilding,102,154,2,0,0,2,0,7,2,0,2,3,0,1,0,0,0,0,0,explorationFocus,56,130,3,0,1,3,0,7,2,0,2,2,1,0,0,1,0,0,0,shipBuilding,126,165,1,1
61,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,115,,3,1,1,1,7,2,0,1,3,1,1,0,1,0,0,0,shipBuilding,141,111,2,0,2,2,0,7,2,0,3,2,0,0,1,0,0,0,0,explorationFocus,74,129,1,1,0,3,0,7,2,0,3,2,1,1,0,0,0,0,0,factoryVariety,138,85,3,0
62,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,123,,1,0,1,1,7,2,0,0,3,1,1,0,0,0,0,0,adaptiveResidentStrategy,70,164,1,1,1,2,0,7,2,0,0,1,1,2,0,0,0,0,0,balanced,95,151,3,0,2,3,0,7,2,0,2,1,2,1,0,0,0,0,0,eliteResidentProduction,109,162,2,0
63,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,275,,3,0,1,1,7,2,0,2,2,0,0,0,1,0,1,0,adaptiveResidentStrategy,108,93,2,0,1,2,0,7,2,0,1,2,2,0,0,0,0,1,0,eliteResidentProduction,153,90,3,0,2,3,0,7,2,0,1,0,1,1,0,1,0,0,0,balanced,80,144,1,1
64,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,155,,3,1,1,1,7,2,0,3,0,2,0,0,2,0,0,0,shipBuilding,87,135,3,0,2,2,0,7,2,0,0,3,1,1,0,1,0,0,0,adaptiveResidentStrategy,54,150,1,1,0,3,0,7,2,0,2,1,0,1,0,1,0,0,0,factoryVariety,77,144,2,0
